Country,Date,DailyCases,CumulativeCases
England,2021-03-02,5530,3668620
England,2021-03-01,4738,3663090
England,2021-02-28,5080,3658352
England,2021-02-27,6527,3653272
England,2021-02-26,7393,3646745
England,2021-02-25,8623,3639352
England,2021-02-24,8644,3630729
England,2021-02-23,7292,3622085
England,2021-02-22,9420,3614793
England,2021-02-21,8408,3605373
England,2021-02-20,8964,3596965
England,2021-02-19,10296,3588001
England,2021-02-18,10740,3577705
England,2021-02-17,10926,3566965
England,2021-02-16,9236,3556039
England,2021-02-15,8609,3546803
England,2021-02-14,9499,3538194
England,2021-02-13,11697,3528695
England,2021-02-12,13299,3516998
England,2021-02-11,12001,3503699
England,2021-02-10,11551,3491698
England,2021-02-09,10916,3480147
England,2021-02-08,12270,3469231
England,2021-02-07,14466,3456961
England,2021-02-06,16302,3442495
England,2021-02-05,17314,3426193
England,2021-02-04,18529,3408879
England,2021-02-03,17265,3390350
England,2021-02-02,15021,3373085
England,2021-02-01,16815,3358064
England,2021-01-31,19054,3341249
England,2021-01-30,21089,3322195
England,2021-01-29,26709,3301106
England,2021-01-28,26182,3274397
England,2021-01-27,22914,3248215
England,2021-01-26,17920,3225301
England,2021-01-25,20149,3207381
England,2021-01-24,27580,3187232
England,2021-01-23,30496,3159652
England,2021-01-22,37115,3129156
England,2021-01-21,34371,3092041
England,2021-01-20,35061,3057670
England,2021-01-19,30371,3022609
England,2021-01-18,34134,2992238
England,2021-01-17,35263,2958104
England,2021-01-16,37759,2922841
England,2021-01-15,50741,2885082
England,2021-01-14,44358,2834341
England,2021-01-13,42898,2789983
England,2021-01-12,41121,2747085
England,2021-01-11,41835,2705964
England,2021-01-10,50291,2664129
England,2021-01-09,54257,2613838
England,2021-01-08,61757,2559581
England,2021-01-07,46841,2497824
England,2021-01-06,56060,2450983
England,2021-01-05,54940,2394923
England,2021-01-04,53180,2339983
England,2021-01-03,46853,2286803
England,2021-01-02,49248,2239950
England,2021-01-01,50746,2190702
England,2020-12-31,49510,2139956
England,2020-12-30,43554,2090446
England,2020-12-29,47164,2046892
England,2020-12-28,36511,1999728
England,2020-12-27,25619,1963217
England,2020-12-26,31307,1937598
England,2020-12-25,31560,1906291
England,2020-12-24,35561,1874731
England,2020-12-23,34247,1839170
England,2020-12-22,32288,1804923
England,2020-12-21,28742,1772635
England,2020-12-20,32155,1743893
England,2020-12-19,22775,1711738
England,2020-12-18,24452,1688963
England,2020-12-17,22401,1664511
England,2020-12-16,23432,1642110
England,2020-12-15,16504,1618678
England,2020-12-14,17882,1602174
England,2020-12-13,17164,1584292
England,2020-12-12,17468,1567128
England,2020-12-11,17899,1549660
England,2020-12-10,17622,1531761
England,2020-12-09,12960,1514139
England,2020-12-08,10459,1501179
England,2020-12-07,11623,1490720
England,2020-12-06,14294,1479097
England,2020-12-05,12666,1464803
England,2020-12-04,13412,1452137
England,2020-12-03,11992,1438725
England,2020-12-02,13323,1426733
England,2020-12-01,11618,1413410
England,2020-11-30,10869,1401792
England,2020-11-29,10054,1390923
England,2020-11-28,13323,1380869
England,2020-11-27,13557,1367546
England,2020-11-26,14637,1355272
England,2020-11-25,15893,1340635
England,2020-11-24,9854,1324742
England,2020-11-23,13329,1314888
England,2020-11-22,16668,1301559
England,2020-11-21,17615,1284891
England,2020-11-20,17845,1267276
England,2020-11-19,20291,1249431
England,2020-11-18,17189,1229140
England,2020-11-17,17549,1211951
England,2020-11-16,19423,1194402
England,2020-11-15,21998,1174979
England,2020-11-14,24298,1152981
England,2020-11-13,24540,1128683
England,2020-11-12,30843,1104143
England,2020-11-11,19970,1073300
England,2020-11-10,18622,1053330
England,2020-11-09,19036,1034708
England,2020-11-08,18293,1015672
England,2020-11-07,21875,997379
England,2020-11-06,20268,975504
England,2020-11-05,21137,955236
England,2020-11-04,21863,934099
England,2020-11-03,17330,912236
England,2020-11-02,15860,894906
England,2020-11-01,20602,879046
England,2020-10-31,18864,858444
England,2020-10-30,20821,839580
England,2020-10-29,19740,818759
England,2020-10-28,21245,799019
England,2020-10-27,19629,777774
England,2020-10-26,17883,758145
England,2020-10-25,16487,740262
England,2020-10-24,19332,723775
England,2020-10-23,17116,704443
England,2020-10-22,17354,687327
England,2020-10-21,22948,669973
England,2020-10-20,17814,647025
England,2020-10-19,16365,629211
England,2020-10-18,14704,612846
England,2020-10-17,13299,598142
England,2020-10-16,12176,584843
England,2020-10-15,16139,572667
England,2020-10-14,16132,556528
England,2020-10-13,14310,540396
England,2020-10-12,11647,526086
England,2020-10-11,10383,514439
England,2020-10-10,12628,504056
England,2020-10-09,10772,491428
England,2020-10-08,14952,480656
England,2020-10-07,11528,465704
England,2020-10-06,12648,454176
England,2020-10-05,10685,441528
England,2020-10-04,21309,430843
England,2020-10-03,10806,409534
England,2020-10-02,4797,398728
England,2020-10-01,5589,393931
England,2020-09-30,5656,388342
England,2020-09-29,5651,382686
England,2020-09-28,3316,377035
England,2020-09-27,4800,373719
England,2020-09-26,4639,368919
England,2020-09-25,5723,364280
England,2020-09-24,5632,358557
England,2020-09-23,5083,352925
England,2020-09-22,4187,347842
England,2020-09-21,3754,343655
England,2020-09-20,3279,339901
England,2020-09-19,3638,336622
England,2020-09-18,3771,332984
England,2020-09-17,2788,329213
England,2020-09-16,3396,326425
England,2020-09-15,2649,323029
England,2020-09-14,2259,320380
England,2020-09-13,2837,318121
England,2020-09-12,3008,315284
England,2020-09-11,3143,312276
England,2020-09-10,2578,309133
England,2020-09-09,2286,306555
England,2020-09-08,2094,304269
England,2020-09-07,2528,302175
