Team,position,played,won,drawn,lost,GF,GA,GD,points
Man City,1,32,23,5,4,67,23,44,74
Man United,2,31,18,9,4,61,34,27,63
Leicester,3,31,17,5,9,55,37,18,56
West Ham,4,31,16,7,8,51,39,12,55
Chelsea,5,31,15,9,7,50,31,19,54
Liverpool,6,31,15,7,9,53,37,16,52
Tottenham,7,31,14,7,10,52,35,17,49
Everton,8,29,14,5,10,41,38,3,47
Arsenal,9,31,13,6,12,43,35,8,45
Leeds,10,31,14,3,14,49,49,0,45
Aston Villa,11,30,13,5,12,43,33,10,44
Wolves,12,31,10,8,13,31,41,-10,38
Crystal Palace,13,31,10,8,13,33,52,-19,38
Southampton,14,30,10,6,14,39,53,-14,36
Burnley,15,31,8,9,14,25,42,-17,33
Brighton,16,30,7,11,12,33,38,-5,32
Newcastle,17,31,8,8,15,32,51,-19,32
Fulham,18,32,5,11,16,24,42,-18,26
West Brom,19,30,4,9,17,25,59,-34,21
Sheffield United,20,31,4,2,25,17,55,-38,14
